name;min amt;max amt;min term;max term;goal;min interest;min net interest;feature1;feature2;fee study;fee openning;fee cancellation;image source;Url
prestamo cambia db;3.000 €;60.000 €;1 año;8 años;Refinanciación;6,43%;6,25%;Hasta 8 años;Sin comisiones de estudio ni apertura;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/deutsche bank.png;https://www.deutsche-bank.es
prestamo cetelem;6.000 €;60.000 €;1 año;8 años;Indefinido;6,12%;5,95%;Hasta 8 años;Sin comisiones y sin cambiar de banco;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/cetelem.png;www.cetelem.es/Préstamo/Online
prestamo coche;10.000 €;75.000 €;5 años;10 años;Coches nuevos o de segunda mano;5,77%;5%;Hasta 10 años;Ventajas adicionales por vinculación;0%;1,50%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/kutxabank.png;www.bancsabadell.com/prestamos/contrata-ahora
prestamo con garantia hipotecaria;6.000 €;150.000 €;6 meses;15 años;Préstamo con garantía hipotecaria;11,55%;8,95%;Hasta 15 años;Sin comisión de formalización;0%;0%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/pidetucredito.png;www.solucioeconomica.cat/Préstamos/Mínimo_10000€
prestamo confianza a tipo fijo db;2.600 €;60.000 €;2 años;8 años;Indefinido;10,95%;7,99%;Hasta 8 años;Interés fijo;0%;1,50%;1%; https://github.com/bielrv/scraping-jupyter/blob/master/images/deutsche bank.png;https://www.deutsche-bank.es
prestamo creditodo;0 €;60.000 €;0 días;10 años;Adquisición de bienes de consumo;8,62%;6,50%;Hasta 10 años;Sin comisión por cancelación anticipada;0%;0,95%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/banco_caminos.png;comparador.rastreator.com/Créditos/Personales
prestamo crosslend;1.500 €;30.000 €;6 meses;5 años;Indefinido;5,87%;4,50%;Hasta 5 años;Sin productos vinculados;0%;0,50%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/crosslend.png;https://es.crosslend.com/
prestamo evo;3.000 €;50.000 €;1 año;8 años;Indefinido;9,27%;8,45%;Hasta 8 años;Cuotas de devolución personalizadas;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/evo banco.png;www.evofinance.com/Préstamo
prestamo expansion puntual;0 €;3.000 €;30 días;10 meses;Indefinida;14,07%;0%;Hasta 10 meses;Flexibilidad en el pago;0%;3%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/banco_sabadell.png;www.bancsabadell.com/Préstamo/Expansión
prestamo expansion sabadell;3.000 €;60.000 €;1 año y 6 meses;8 años;Indefinido;11,30%;8,75%;Hasta 8 años;Para clientes de la entidad;0%;2%;0.5%; https://github.com/bielrv/scraping-jupyter/blob/master/images/banco sabadell.png;www.bancsabadell.com/Préstamo/Expansión
prestamo flexible;500 €;3.000 €;90 días;6 meses;Indefinido;134,11%;88%;Hasta 6 meses;Sin comisiones;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/ok_money.png;es.younited-credit.com/Préstamo/Online
prestamo freedom;1.800 €;20.000 €;0 días;7 años;Imprevistos;7,21%;7,21%;Hasta 7 años;Para clientes de la entidad;0%;1%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/mediolanum.png;www.solcredito.es/Préstamos/al-instante
prestamo hipotecario suizainvest;5.000 €;300.000 €;6 meses;15 años;Indefinido;12,68%;8,95%;Hasta 15 años;Sin comisión de estudio;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/suizainvest.png;www.ing.es/Hipoteca/NARANJA
prestamo naranja;6.000 €;60.000 €;1 año;7 años;Indefinido;6,11%;5,95%;Hasta 7 años;Sin comisiones;0%;0%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/ing direct.png;https://www.ing.es/prestamos-personales/
prestamo nomina;0 €;30.000 €;2 años;8 años;Indefinida;6,36%;7,50%;Hasta 8 años;Flexibilidad en el pago;0,50%;2%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/unicaja.png;www.solcredito.es/Préstamos/con-nomina
prestamo nomina de popular;3.000 €;30.000 €;1 año;5 años;Nómina;7,88%;5,95%;Hasta 5 años;Sin comisión de estudio;0%;1%;Si; https://github.com/bielrv/scraping-jupyter/blob/master/images/banco popular.png;www.bancopopular.es/personas/obtener-financiacion/prestamos/prestamo-nomina
prestamo oney;3.000 €;30.000 €;1 año;7 años;Indefinido;15,46%;9,90%;Hasta 7 años;Flexibilidad en la amortización;1%;2%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/oney.png;www.creditosrapidos365.com/
prestamo personal ahora tu coche;5.000 €;60.000 €;0 días;10 años;Coche;5,92%;4,95%;Hasta 10 años;Hasta el 100% de financiación;0%;0%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/liberbank.png;www.bancsabadell.com/prestamos/contrata-ahora
prestamo personal bankinter;3.000 €;90.000 €;1 año;8 años;Viaje, reforma, estudios...;5,06%;4,95%;Hasta 8 años;Contratación online;0%;3%;1%; https://github.com/bielrv/scraping-jupyter/blob/master/images/bankinter.png;www.bancsabadell.com/prestamos/contrata-ahora
prestamo personal bigbank;1.000 €;4.000 €;12 meses;6 años;Indefinido;23,69%;20%;Hasta 6 años;Sin comisión de apertura ni estudio;0%;3%;1%; https://github.com/bielrv/scraping-jupyter/blob/master/images/bigbank.png;www.bancsabadell.com/prestamos/contrata-ahora
prestamo personal cochego;500 €;15.000 €;90 días;1 año;Indefinido;120%;a consultar;Hasta 1 año;Contratación online;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/cochego.png;www.bancsabadell.com/prestamos/contrata-ahora
prestamo personal evo finance;6.000 €;30.000 €;1 año;8 años;Indefinido;7,23%;7,00%;Hasta 8 años;Sin comisiones;0%;0%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/evo finance.png;www.evofinance.com/Préstamo
prestamo personal nomina banco caminos;0 €;30.000 €;0 días;10 años;Indefinido;5,87%;5,25%;Hasta 10 años;Sin comisión de cancelación;0%;0,25%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/banco_caminos.png;www.bancsabadell.com/prestamos/contrata-ahora
prestamo personal online bbva;3.000 €;75.000 €;2 años;8 años;Indefinido;7,85%;6,95%;Hasta 8 años;Sin comisión de estudio;0%;2,30%;0.5%; https://github.com/bielrv/scraping-jupyter/blob/master/images/bbva.png;www.bbva.es/Prestamo/Consumo
prestamo plan;1.000 €;15.000 €;1 año;6 años;Reformas, equipamiento hogar, estudios, coche y moto, viajes o celebraciones.;7,24%;5,75%;Hasta 6 años;Sin comisiones;0%;3%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/bigbank.png;www.cetelem.es/Préstamo/Online
prestamo rapido;75 €;750 €;7 días;30 días;Indefinido;3752,37%;a consultar;Hasta 30 días;Plazo de devolución entre 7 y 30 días;0%;0%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/kredito 24.png;www.creditosrapidosnuevos.es/
prestamo sin comision;1 €;2.052 €;4 años;4 años;Financiar las vacaciones de verano.;9,70%;7,90%;Hasta 4 años;Plazo de devolución de hasta 4 años;0%;0%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/banco_popular.png;www.solcredito.es/Préstamos/al-instante
prestamo verde;2.000 €;15.000 €;1 año;6 años;Indefinido;4,06%;3,99%;Hasta 6 años;Dirigido a proyectos para el cuidado del medio ambiente;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/bigbank.png;www.cetelem.es/Préstamo/Online
prestamo wanna;750 €;10.000 €;6 meses;3 años;Indefinido;7,23%;10%;Hasta 3 años;Sin comisiones;0%;0%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/wanna.png;https://wanna.es/
prestamo younited credit;1.000 €;40.000 €;2 años;6 años;Indefinido;6,08%;5,92%;Hasta 6 años;Préstamo sin aval;0%;2%;0%; https://github.com/bielrv/scraping-jupyter/blob/master/images/younited_credit.png;https://es.younited-credit.com/
prestamo zank;500 €;10.000 €;6 meses;4 años;Indefinido;8,67%;7,00%;Hasta 4 años;Sin productos vinculados;0,05%;2%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/zank.png;www.helpmycash.com/prestamos/online
prestamos personales financa;1.000 €;6.000 €;1 año y 9 meses;5 años;Indefinido;23,72%;19,41%;Hasta 5 años;Tu dinero en menos de 24 horas;0,02%;0,06%;No; https://github.com/bielrv/scraping-jupyter/blob/master/images/financa.png;www.bancsabadell.com/prestamos/contrata-ahora
